Club,Cancha,Tee,Rating,Sexo,Slope
Jockey Club Argentino,Albatros,Rojo,65.9,C,107
Jockey Club Argentino,Azul,Negro,70.4,C,121
Jockey Club Argentino,Azul,Azul,70.2,C,123
Jockey Club Argentino,Azul,Blanco,69.1,C,120
Jockey Club Argentino,Azul,Amarillo,67.5,C,111
Jockey Club Argentino,Central,Azul,69.4,C,123
Jockey Club Argentino,Central,Blanco,68.4,C,120
Jockey Club Argentino,Central,Amarillo,66.9,C,113
Jockey Club Argentino,Colorada,Negro,72.9,C,123
Jockey Club Argentino,Colorada,Rojo,71.1,C,122
Jockey Club Argentino,Colorada,Blanco,70.1,C,122
Jockey Club Argentino,Colorada,Amarillo,69.1,C,122
Jockey Club Argentino,Junior,Celeste,63,C,102
Jockey Club Argentino,Junior,Verde,58,C,109
Buenos Aires GC,Blue-Green,Negro,72.7,C,129
Buenos Aires GC,Blue-Green,Rojo,70.4,C,128
Buenos Aires GC,Blue-Green,Blanco,68.1,C,124
Buenos Aires GC,Blue-Yellow,Negro,72.3,C,129
Buenos Aires GC,Blue-Yellow,Rojo,70.3,C,128
Buenos Aires GC,Blue-Yellow,Blanco,68.5,C,126
Buenos Aires GC,Green-Blue,Negro,72.7,C,129
Buenos Aires GC,Green-Blue,Rojo,70.4,C,128
Buenos Aires GC,Green-Blue,Blanco,68.1,C,124
Buenos Aires GC,Green-Yellow,Negro,72.4,C,127
Buenos Aires GC,Green-Yellow,Rojo,70.1,C,127
Buenos Aires GC,Green-Yellow,Blanco,68.6,C,121
Buenos Aires GC,Yellow-Blue,Negro,72.3,C,129
Buenos Aires GC,Yellow-Blue,Rojo,70.3,C,128
Buenos Aires GC,Yellow-Blue,Blanco,68.5,C,126
Buenos Aires GC,Yellow-Green,Negro,72.4,C,127
Buenos Aires GC,Yellow-Green,Rojo,70.1,C,127
Buenos Aires GC,Yellow-Green,Blanco,68.6,C,121
La Colina,La Colina,Negro,73.7,C,129
La Colina,La Colina,Azul,72,C,126
La Colina,La Colina,Blanco,71,C,126
La Colina,La Colina,Amarillo,68.5,C,121
pinguinos,pinguinos,Azul,72.8,C,130
pinguinos,pinguinos,Blanco,71,C,130
pinguinos,pinguinos,Amarillo,68.1,C,116
Estancias,Central,Negro,73.9,C,132
Estancias,Central,Dorado,72.4,C,128
Estancias,Central,Azul,70.9,C,128
Estancias,Central,Verde,68.7,C,126
Estancias,Central,Blanco,65.9,C,113
Lagartos,Agua-Larga,Negro,72.1,C,128
Lagartos,Agua-Larga,Azul,71.1,C,122
Lagartos,Agua-Larga,Blanco,69.5,C,116
Lagartos,Agua-Larga,Amarillo,67.3,C,116
Lagartos,Agua-Larga,Rojo,66.5,C,114
Lagartos,Campeonato,Negro,72.8,C,124
Lagartos,Campeonato,Azul,72,C,124
Lagartos,Campeonato,Blanco,70,C,122
Lagartos,Campeonato,Amarillo,67.8,C,117
Lagartos,Campeonato,Rojo,67.3,C,119
Lagartos,Larga-Vieja,Negro,73.1,C,130
Lagartos,Larga-Vieja,Azul,72.4,C,126
Lagartos,Larga-Vieja,Blanco,71,C,120
Lagartos,Larga-Vieja,Amarillo,69.3,C,117
Lagartos,Larga-Vieja,Rojo,68.7,C,115
Lagartos,Vieja-Agua,Negro,70.7,C,124
Lagartos,Vieja-Agua,Azul,69.9,C,121
Lagartos,Vieja-Agua,Blanco,68.3,C,120
Lagartos,Vieja-Agua,Amarillo,66.2,C,115
Lagartos,Vieja-Agua,Rojo,66,C,113
Cardales CC,Cancha 1,Azul,70.5,C,122
Cardales CC,Cancha 1,Blanco,69.4,C,119
Cardales CC,Cancha 1,Amarillo,67.1,C,113
Cardales CC,Cancha 2,Azul,70.7,C,123
Cardales CC,Cancha 2,Blanco,69.6,C,120
Cardales CC,Cancha 2,Amarillo,67.5,C,113
Cardales CC,Cancha 3,Azul,70.7,C,127
Cardales CC,Cancha 3,Blanco,69.5,C,122
Cardales CC,Cancha 4,Azul,70,C,126
Cardales CC,Cancha 4,Blanco,68.7,C,122
Costa Esmeralda,Vieja,Azul,74,C,129
Costa Esmeralda,Vieja,Blanco,71,C,121
Costa Esmeralda,Vieja,Amarillo,67.6,C,115
Costa Esmeralda,Nueva,Azul,74,C,129
Costa Esmeralda,Nueva,Blanco,71,C,128
Costa Esmeralda,Nueva,Amarillo,67.4,C,127
Mayling,Mayling,Azul,70.1,C,132
Mayling,Mayling,Blanco,69,C,120
Mayling,Mayling,Rojo,67.3,C,125
Everlinks,Everlinks,Negro,76.1,C,137
Everlinks,Everlinks,Azul,73.6,C,132
Everlinks,Everlinks,Blanco,71.6,C,127
Everlinks,Everlinks,Amarillo,69.9,C,122
San Sebastian,San Sebastian,Negro,75.4,C,126
San Sebastian,San Sebastian,Azul,73,C,118
San Sebastian,San Sebastian,Blanco,69.6,C,121
San Sebastian,San Sebastian,Amarillo,66.6,C,113
Nordelta,Nordelta,Gris,74.3,C,139
Nordelta,Nordelta,Azul,73.1,C,140
Nordelta,Nordelta,Blanco,71.1,C,132
Nordelta,Nordelta,Verde,69.1,C,128
Nordelta,Nordelta,Rojo,66.8,C,125
